Point	Row	Column	Pos_110
1	1	1	30.93092
2	1	2	30.90934
3	1	3	30.833317
4	1	4	30.833794
5	1	5	30.819267
6	1	6	30.874804
7	1	7	30.877481
8	1	8	30.867538
9	1	9	30.859573
10	1	10	30.846087
11	1	11	30.808264
12	2	1	30.82514
13	2	2	30.781475
14	2	3	30.788929
15	2	4	30.809202
16	2	5	30.805965
17	2	6	30.777662
18	2	7	30.788826
19	2	8	30.789019
20	2	9	30.807699
21	2	10	30.805038
22	2	11	30.805342
23	3	1	30.727985
24	3	2	30.715193
25	3	3	30.713484
26	3	4	30.72518
27	3	5	30.704538
28	3	6	30.695812
29	3	7	30.702209
30	3	8	30.70891
31	3	9	30.729425
32	3	10	30.715097
33	3	11	30.710358
34	4	1	30.680441
35	4	2	30.673431
36	4	3	30.659647
37	4	4	30.645386
38	4	5	30.626123
39	4	6	30.624449
40	4	7	30.621239
41	4	8	30.620703
42	4	9	30.62097
43	4	10	30.619518
44	4	11	30.621513
