FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01332,1,1,1,4.0836835,0.59449345,0.50738543,2078.4849,811.75885,30.93092,38.086674,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,2,1,2,4.0864649,0.59221017,0.47318345,2263.8484,914.95648,30.909340000000004,38.058239,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,3,1,3,4.0962954,0.51877552,0.40579566,2798.8884,1127.6559,30.833316999999997,37.967354,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,4,1,4,4.0962334,0.52834672,0.43620467,2927.5427,1159.7507,30.833794,37.966,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,5,1,5,4.0981174,0.51829785,0.41047159,3135.4578,1231.8975,30.819267,37.948036,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,6,1,6,4.0909247,0.55565888,0.45481747,2921.0823,1197.0742,30.874803999999997,38.011581,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,7,1,7,4.0905786,0.56272358,0.44896966,2902.0828,1211.274,30.877481,38.003799,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,8,1,8,4.0918641000000004,0.55652004,0.50497961,2945.1201,1071.806,30.867538,38.003807,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,9,1,9,4.0928946,0.53709555,0.44938427,2961.8037,1135.8126,30.859572999999997,37.989868,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,10,1,10,4.0946407,0.52474916,0.43757305,2855.0811,988.4702800000001,30.846087,37.980647999999995,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,11,1,11,4.0995455000000005,0.50982296,0.48593786,2740.0112,851.31775,30.808264,37.940964,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
Ba1.0O3,01332,12,2,1,4.0973554,0.52597517,0.43672308,2801.7644,1241.7645,30.82514,37.955036,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,20_Oct_2017,Pulsed Laser Deposition,BZYF631/ BZF19/ BZC19,700.0,18.3,850,N,345.0,10,50.0,SiO2,20,0,37,0,0,24,0,27.0,0,0,240,0,0,120,0
