Point	Row	Column	Frac_110
1	1	1	0.71913826
2	1	2	0.71216965
3	1	3	0.71281213
4	1	4	0.71625459
5	1	5	0.71793056
6	1	6	0.70931792
7	1	7	0.70552665
8	1	8	0.73317754
9	1	9	0.7228114
10	1	10	0.74282372
11	1	11	0.76295191
12	2	1	0.69290078
13	2	2	0.71991158
14	2	3	0.75880456
15	2	4	0.75824147
16	2	5	0.77566206
17	2	6	0.75554532
18	2	7	0.70277518
19	2	8	0.71900582
20	2	9	0.70890164
21	2	10	0.7189824
22	2	11	0.74665362
23	3	1	0.729756
24	3	2	0.74125081
25	3	3	0.75475079
26	3	4	0.77160215
27	3	5	0.7608363
28	3	6	0.72711283
29	3	7	0.73474574
30	3	8	0.73947626
31	3	9	0.74783689
32	3	10	0.7527107
33	3	11	0.77729863
34	4	1	0.78206968
35	4	2	0.77431428
36	4	3	0.78001446
37	4	4	0.78351068
38	4	5	0.77831978
39	4	6	0.77118194
40	4	7	0.78549713
41	4	8	0.80016786
42	4	9	0.79530817
43	4	10	0.80211091
44	4	11	0.82197589
