Point	Row	Column	Pos_111
1	1	1	38.086674
2	1	2	38.058239
3	1	3	37.967354
4	1	4	37.966
5	1	5	37.948036
6	1	6	38.011581
7	1	7	38.003799
8	1	8	38.003807
9	1	9	37.989868
10	1	10	37.980648
11	1	11	37.940964
12	2	1	37.955036
13	2	2	37.899666
14	2	3	37.928814
15	2	4	37.950027
16	2	5	37.942223
17	2	6	37.907806
18	2	7	37.902298
19	2	8	37.900967
20	2	9	37.920803
21	2	10	37.92054
22	2	11	37.919655
23	3	1	37.846062
24	3	2	37.827881
25	3	3	37.837997
26	3	4	37.847668
27	3	5	37.823505
28	3	6	37.791443
29	3	7	37.787827
30	3	8	37.796135
31	3	9	37.813709
32	3	10	37.807171
33	3	11	37.804897
34	4	1	37.781971
35	4	2	37.781925
36	4	3	37.758923
37	4	4	37.735134
38	4	5	37.713074
39	4	6	37.711964
40	4	7	37.707916
41	4	8	37.713776
42	4	9	37.709667
43	4	10	37.706028
44	4	11	37.716049
