Point	Row	Column	MaxInt_110
1	1	1	2078.4849
2	1	2	2263.8484
3	1	3	2798.8884
4	1	4	2927.5427
5	1	5	3135.4578
6	1	6	2921.0823
7	1	7	2902.0828
8	1	8	2945.1201
9	1	9	2961.8037
10	1	10	2855.0811
11	1	11	2740.0112
12	2	1	2801.7644
13	2	2	3276.4302
14	2	3	3610.0608
15	2	4	3731.7368
16	2	5	3903.1675
17	2	6	3984.134
18	2	7	3786.6245
19	2	8	3795.4363
20	2	9	3461.2158
21	2	10	3377.1641
22	2	11	3149.8386
23	3	1	2940.5369
24	3	2	3285.8103
25	3	3	3580.3418
26	3	4	3815.209
27	3	5	3942.5879
28	3	6	3848.3533
29	3	7	3767.9583
30	3	8	3753.2876
31	3	9	3806.9309
32	3	10	3567.429
33	3	11	3307.9604
34	4	1	2507.8052
35	4	2	2813.2683
36	4	3	3096.8999
37	4	4	3398.5562
38	4	5	3435.6472
39	4	6	3569.7068
40	4	7	3645.0186
41	4	8	3632.2134
42	4	9	3480.9326
43	4	10	3257.1292
44	4	11	3025.9204
