Point	Row	Column	Pos_111
1	1	1	37.630569
2	1	2	37.784794
3	1	3	37.877975
4	1	4	37.958469
5	1	5	
6	1	6	
7	1	7	
8	1	8	38.037224
9	1	9	
10	1	10	
11	1	11	
12	2	1	37.60865
13	2	2	37.62632
14	2	3	37.794334
15	2	4	38.034943
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	37.605465
24	3	2	37.662098
25	3	3	37.70779
26	3	4	37.816071
27	3	5	37.985409
28	3	6	38.047794
29	3	7	38.062435
30	3	8	38.018478
31	3	9	37.907448
32	3	10	37.779003
33	3	11	37.697315
34	4	1	37.639858
35	4	2	37.630093
36	4	3	37.623325
37	4	4	37.606277
38	4	5	37.61763
39	4	6	37.601707
40	4	7	37.627846
41	4	8	37.719872
42	4	9	37.677238
43	4	10	37.60437
44	4	11	37.573524
