Point	Row	Column	Frac_110
1	1	1	0.71985173
2	1	2	0.73614997
3	1	3	0.6950891
4	1	4	0.65609986
5	1	5	
6	1	6	
7	1	7	
8	1	8	0.59599274
9	1	9	
10	1	10	
11	1	11	
12	2	1	0.72773361
13	2	2	0.71385157
14	2	3	0.72061372
15	2	4	0.61076903
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	0.71230519
24	3	2	0.73530793
25	3	3	0.73380399
26	3	4	0.66700929
27	3	5	0.65826136
28	3	6	0.6561957
29	3	7	0.66131264
30	3	8	0.64450932
31	3	9	0.65891969
32	3	10	0.70508122
33	3	11	0.75692517
34	4	1	0.80013639
35	4	2	0.77057207
36	4	3	0.78581864
37	4	4	0.72701299
38	4	5	0.71315312
39	4	6	0.7302025
40	4	7	0.74534374
41	4	8	0.74347901
42	4	9	0.74264872
43	4	10	0.75660992
44	4	11	0.78270632
