Point	Row	Column	Pos_110
1	1	1	30.548775
2	1	2	30.669819
3	1	3	30.749126
4	1	4	30.803171
5	1	5	
6	1	6	
7	1	7	
8	1	8	30.843597
9	1	9	
10	1	10	
11	1	11	
12	2	1	30.523354
13	2	2	30.537632
14	2	3	30.682409
15	2	4	30.866364
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	30.523825
24	3	2	30.574249
25	3	3	30.604103
26	3	4	30.703388
27	3	5	30.8237
28	3	6	30.869707
29	3	7	30.870987
30	3	8	30.83606
31	3	9	30.757061
32	3	10	30.662256
33	3	11	30.583906
34	4	1	30.565815
35	4	2	30.552444
36	4	3	30.544024
37	4	4	30.534975
38	4	5	30.534342
39	4	6	30.531561
40	4	7	30.547348
41	4	8	30.613667
42	4	9	30.579943
43	4	10	30.533014
44	4	11	30.49383
