Point	Row	Column	Co_at
1	1	1	0.1270778
2	1	2	0.1269336
3	1	3	0.1286674
4	1	4	0.12782791
5	1	5	0.1283813
6	1	6	0.1298964
7	1	7	0.12891541
8	1	8	0.12996729
9	1	9	0.13020152
10	1	10	0.12994149
11	1	11	0.13089339
12	2	1	0.12442619
13	2	2	0.1235546
14	2	3	0.1251905
15	2	4	0.1224091
16	2	5	0.1230156
17	2	6	0.1238447
18	2	7	0.12485801
19	2	8	0.1245985
20	2	9	0.12689482
21	2	10	0.12901931
22	2	11	0.1257578
23	3	1	0.1237772
24	3	2	0.1243039
25	3	3	0.1224251
26	3	4	0.124398
27	3	5	0.1229184
28	3	6	0.124094
29	3	7	0.12496311
30	3	8	0.1252946
31	3	9	0.12790371
32	3	10	0.1270082
33	3	11	0.1272229
34	4	1	0.1258636
35	4	2	0.1272018
36	4	3	0.12675822
37	4	4	0.1254583
38	4	5	0.1263061
39	4	6	0.12729581
40	4	7	0.12609461
41	4	8	0.12757041
42	4	9	0.13073352
43	4	10	0.1248803
44	4	11	0.12572432
