Point	Row	Column	110_s_Area
1	1	1	58540.734
2	1	2	58677.145
3	1	3	57530.066
4	1	4	56879.793
5	1	5	50425.887
6	1	6	
7	1	7	49233.926
8	1	8	50143.012
9	1	9	48476.293
10	1	10	
11	1	11	
12	2	1	61495.367
13	2	2	62453.977
14	2	3	61505.98
15	2	4	59133.477
16	2	5	52288.109
17	2	6	
18	2	7	51001.09
19	2	8	
20	2	9	
21	2	10	
22	2	11	48147.812
23	3	1	60556.629
24	3	2	61248.582
25	3	3	61256.996
26	3	4	59744.105
27	3	5	57997.445
28	3	6	55281.484
29	3	7	54771.707
30	3	8	54299.891
31	3	9	54290.902
32	3	10	53862.648
33	3	11	53246.469
34	4	1	57899.473
35	4	2	57443.59
36	4	3	58341.719
37	4	4	57405.363
38	4	5	56302.141
39	4	6	56080.625
40	4	7	55322.078
41	4	8	54381.289
42	4	9	53476.789
43	4	10	52298.91
44	4	11	52103.367
