Point	Row	Column	Frac_111
1	1	1	0.28014824
2	1	2	0.26385003
3	1	3	0.3049109
4	1	4	0.34390014
5	1	5	0
6	1	6	0
7	1	7	0
8	1	8	0.40400726
9	1	9	0
10	1	10	0
11	1	11	0
12	2	1	0.27226639
13	2	2	0.28614846
14	2	3	0.27938631
15	2	4	0.31373435
16	2	5	0
17	2	6	0
18	2	7	0
19	2	8	0
20	2	9	0
21	2	10	0
22	2	11	0
23	3	1	0.28769484
24	3	2	0.26469204
25	3	3	0.26619598
26	3	4	0.33299071
27	3	5	0.34173864
28	3	6	0.34380433
29	3	7	0.33868736
30	3	8	0.35549068
31	3	9	0.34108031
32	3	10	0.29491878
33	3	11	0.24307482
34	4	1	0.19986363
35	4	2	0.22942792
36	4	3	0.21418135
37	4	4	0.27298698
38	4	5	0.28684685
39	4	6	0.2697975
40	4	7	0.25465629
41	4	8	0.25652096
42	4	9	0.25735128
43	4	10	0.24339005
44	4	11	0.21729366
