Point	Row	Column	FWHM_111
1	1	1	0.42979702
2	1	2	0.45456994
3	1	3	0.49201423
4	1	4	0.47744906
5	1	5	
6	1	6	
7	1	7	
8	1	8	0.42943478
9	1	9	
10	1	10	
11	1	11	
12	2	1	0.42545721
13	2	2	0.41369838
14	2	3	0.49847361
15	2	4	0.44794905
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	0.4434531
24	3	2	0.45453787
25	3	3	0.45130128
26	3	4	0.46703598
27	3	5	0.4349463
28	3	6	0.41045052
29	3	7	0.41072804
30	3	8	0.40199253
31	3	9	0.46071619
32	3	10	0.46942696
33	3	11	0.50282592
34	4	1	0.46961048
35	4	2	0.41016147
36	4	3	0.47571641
37	4	4	0.41928631
38	4	5	0.43238255
39	4	6	0.43442926
40	4	7	0.47310102
41	4	8	0.46752498
42	4	9	0.46942389
43	4	10	0.4394004
44	4	11	0.50278115
