Point	Row	Column	110_s_FWHM
1	1	1	1.8067728
2	1	2	1.8003681
3	1	3	1.9884503
4	1	4	2.1294382
5	1	5	-17.93965
6	1	6	
7	1	7	14.014551
8	1	8	4.729784
9	1	9	8.690299
10	1	10	
11	1	11	
12	2	1	1.5701891
13	2	2	1.5269562
14	2	3	1.6431744
15	2	4	2.0615795
16	2	5	13.375365
17	2	6	
18	2	7	-14.423735
19	2	8	
20	2	9	
21	2	10	
22	2	11	15.738044
23	3	1	1.6638246
24	3	2	1.6352978
25	3	3	1.6369832
26	3	4	1.7809588
27	3	5	2.13639
28	3	6	2.9314833
29	3	7	3.037823
30	3	8	2.6821189
31	3	9	2.3153074
32	3	10	2.27163
33	3	11	2.2001154
34	4	1	1.6961521
35	4	2	1.7208178
36	4	3	1.7066023
37	4	4	1.8786293
38	4	5	1.9651247
39	4	6	1.9444399
40	4	7	2.0008767
41	4	8	2.0918746
42	4	9	2.2066858
43	4	10	2.2529202
44	4	11	2.2004349
