Point	Row	Column	Fe_at
1	1	1	0.1944596
2	1	2	0.19951969
3	1	3	0.199036
4	1	4	0.19808713
5	1	5	0.1986855
6	1	6	0.2020621
7	1	7	0.20055482
8	1	8	0.20073068
9	1	9	0.20301412
10	1	10	0.20857219
11	1	11	0.22309758
12	2	1	0.19445218
13	2	2	0.1951872
14	2	3	0.1955684
15	2	4	0.1959715
16	2	5	0.1954207
17	2	6	0.1944688
18	2	7	0.19714692
19	2	8	0.19820739
20	2	9	0.19764721
21	2	10	0.2008619
22	2	11	0.21346539
23	3	1	0.1954156
24	3	2	0.19614279
25	3	3	0.1965466
26	3	4	0.1935799
27	3	5	0.19544411
28	3	6	0.19302361
29	3	7	0.19505772
30	3	8	0.1972746
31	3	9	0.19751322
32	3	10	0.1995613
33	3	11	0.2115529
34	4	1	0.2001974
35	4	2	0.1999355
36	4	3	0.19890621
37	4	4	0.1988731
38	4	5	0.1963827
39	4	6	0.19804209
40	4	7	0.19559312
41	4	8	0.1978253
42	4	9	0.20357302
43	4	10	0.2029231
44	4	11	0.21619391
