Point	Row	Column	d_um
1	1	1	0.0902
2	1	2	0.09285
3	1	3	0.09465
4	1	4	0.095250003
5	1	5	0.092929997
6	1	6	0.089029998
7	1	7	0.084260002
8	1	8	0.076930001
9	1	9	0.07164
10	1	10	0.065169998
11	1	11	0.061560001
12	2	1	0.11363
13	2	2	0.11952
14	2	3	0.12228
15	2	4	0.12237
16	2	5	0.12084
17	2	6	0.11558
18	2	7	0.10783
19	2	8	0.099490002
20	2	9	0.090329997
21	2	10	0.080849998
22	2	11	0.072099999
23	3	1	0.10848
24	3	2	0.11465
25	3	3	0.11742
26	3	4	0.1187
27	3	5	0.11878
28	3	6	0.1142
29	3	7	0.10785
30	3	8	0.10039
31	3	9	0.090499997
32	3	10	0.081809998
33	3	11	0.073540002
34	4	1	0.080459997
35	4	2	0.084190004
36	4	3	0.086549997
37	4	4	0.089429997
38	4	5	0.088260002
39	4	6	0.086709999
40	4	7	0.08326
41	4	8	0.079089999
42	4	9	0.073019996
43	4	10	0.067209996
44	4	11	0.062139999
