Point	Row	Column	Norm_d
1	1	1	0.47097516
2	1	2	0.51455355
3	1	3	0.54415393
4	1	4	0.5540207
5	1	5	0.51586908
6	1	6	0.4517349
7	1	7	0.37329388
8	1	8	0.25275448
9	1	9	0.16576222
10	1	10	0.059365235
11	1	11	0
12	2	1	0.85627365
13	2	2	0.95313269
14	2	3	0.99851996
15	2	4	1
16	2	5	0.97483969
17	2	6	0.88834071
18	2	7	0.7608946
19	2	8	0.6237461
20	2	9	0.47311297
21	2	10	0.31721756
22	2	11	0.17332676
23	3	1	0.77158362
24	3	2	0.87304717
25	3	3	0.91859889
26	3	4	0.93964809
27	3	5	0.94096369
28	3	6	0.86564708
29	3	7	0.7612235
30	3	8	0.63854629
31	3	9	0.47590858
32	3	10	0.33300444
33	3	11	0.19700707
34	4	1	0.31080416
35	4	2	0.37214273
36	4	3	0.41095215
37	4	4	0.45831278
38	4	5	0.43907252
39	4	6	0.41358328
40	4	7	0.35684919
41	4	8	0.28827494
42	4	9	0.18845585
43	4	10	0.092912354
44	4	11	0.0095379045
