Point	Row	Column	110_s_Area
1	1	1	0.8468281
2	1	2	0.84535819
3	1	3	0.84241784
4	1	4	0.83785194
5	1	5	0.84431762
6	1	6	0.84981942
7	1	7	0.86201489
8	1	8	0.85656458
9	1	9	0.87488407
10	1	10	0.88608211
11	1	11	0.89118451
12	2	1	0.81239706
13	2	2	0.81280565
14	2	3	0.81456041
15	2	4	0.81771159
16	2	5	0.81642622
17	2	6	0.81655991
18	2	7	0.83320665
19	2	8	0.83241165
20	2	9	0.83767712
21	2	10	0.86103696
22	2	11	0.89265543
23	3	1	0.81312919
24	3	2	0.8127529
25	3	3	0.81959558
26	3	4	0.81135559
27	3	5	0.81550467
28	3	6	0.81708974
29	3	7	0.81676716
30	3	8	0.81544381
31	3	9	0.83836931
32	3	10	0.84504038
33	3	11	0.87572485
34	4	1	0.84898227
35	4	2	0.83633554
36	4	3	0.83656216
37	4	4	0.82592404
38	4	5	0.83665419
39	4	6	0.83783609
40	4	7	0.82683754
41	4	8	0.82043624
42	4	9	0.84063655
43	4	10	0.86471933
44	4	11	0.8945297
