Point	Row	Column	Zr_at
1	1	1	0.073580451
2	1	2	0.085017599
3	1	3	0.084289163
4	1	4	0.087707475
5	1	5	0.082234666
6	1	6	0.083022624
7	1	7	0.080466919
8	1	8	0.080366068
9	1	9	0.082091674
10	1	10	0.083350636
11	1	11	0.12709817
12	2	1	0.092645682
13	2	2	0.099974625
14	2	3	0.096221633
15	2	4	0.094413362
16	2	5	0.094148532
17	2	6	0.10132073
18	2	7	0.081151478
19	2	8	0.094747491
20	2	9	0.085964017
21	2	10	0.080606155
22	2	11	0.07738366
23	3	1	0.097325973
24	3	2	0.095692918
25	3	3	0.086500719
26	3	4	0.093351983
27	3	5	0.095013887
28	3	6	0.093280897
29	3	7	0.097529009
30	3	8	0.10106169
31	3	9	0.075268827
32	3	10	0.089788757
33	3	11	0.089547597
34	4	1	0.088915333
35	4	2	0.09888307
36	4	3	0.094423994
37	4	4	0.10265591
38	4	5	0.090161629
39	4	6	0.092361622
40	4	7	0.10391942
41	4	8	0.099140048
42	4	9	0.092722565
43	4	10	0.081012949
44	4	11	0.089173578
