Point	Row	Column	_s_Area
1	1	1	0.42341405
2	1	2	0.4226791
3	1	3	0.42120892
4	1	4	0.41892597
5	1	5	0.42215881
6	1	6	0.42490971
7	1	7	0.43100744
8	1	8	0.42828229
9	1	9	0.43744203
10	1	10	0.44304106
11	1	11	0.44559225
12	2	1	0.40619853
13	2	2	0.40640283
14	2	3	0.40728021
15	2	4	0.4088558
16	2	5	0.40821311
17	2	6	0.40827996
18	2	7	0.41660333
19	2	8	0.41620582
20	2	9	0.41883856
21	2	10	0.43051848
22	2	11	0.44632772
23	3	1	0.40656459
24	3	2	0.40637645
25	3	3	0.40979779
26	3	4	0.4056778
27	3	5	0.40775234
28	3	6	0.40854487
29	3	7	0.40838358
30	3	8	0.40772191
31	3	9	0.41918465
32	3	10	0.42252019
33	3	11	0.43786243
34	4	1	0.42449114
35	4	2	0.41816777
36	4	3	0.41828108
37	4	4	0.41296202
38	4	5	0.41832709
39	4	6	0.41891804
40	4	7	0.41341877
41	4	8	0.41021812
42	4	9	0.42031828
43	4	10	0.43235967
44	4	11	0.44726485
