Point	Row	Column	_s_MaxIntensity
1	1	1	-0.0060110088
2	1	2	0.015393383
3	1	3	0.010996173
4	1	4	0.013266857
5	1	5	0.0087869642
6	1	6	0.015864646
7	1	7	0.02294872
8	1	8	0.0172967
9	1	9	0.039067436
10	1	10	0.052783363
11	1	11	0.14538085
12	2	1	-0.0023115585
13	2	2	0.012754892
14	2	3	0.0070036766
15	2	4	0.0065383385
16	2	5	0.0047232653
17	2	6	0.019201346
18	2	7	-0.0044903853
19	2	8	0.021906629
20	2	9	0.0096051702
21	2	10	0.022249291
22	2	11	0.047422737
23	3	1	0.0077811033
24	3	2	0.0041387291
25	3	3	-0.007402963
26	3	4	-0.001940456
27	3	5	0.0055324407
28	3	6	0.0036515256
29	3	7	0.01182515
30	3	8	0.017567215
31	3	9	-0.011093025
32	3	10	0.024617879
33	3	11	0.054820061
34	4	1	0.026812952
35	4	2	0.034101654
36	4	3	0.025410138
37	4	4	0.03123584
38	4	5	0.016977459
39	4	6	0.022559347
40	4	7	0.034676373
41	4	8	0.018716367
42	4	9	0.026081692
43	4	10	0.026745239
44	4	11	0.072876878
