Point	Row	Column	Y_at
1	1	1	0.089704901
2	1	2	0.088438839
3	1	3	0.079897746
4	1	4	0.097185917
5	1	5	0.083058961
6	1	6	0.084097899
7	1	7	0.087757662
8	1	8	0.083265334
9	1	9	0.086423554
10	1	10	0.084799185
11	1	11	0.086471684
12	2	1	0.10079405
13	2	2	0.081583083
14	2	3	0.08232002
15	2	4	0.086111337
16	2	5	0.090666845
17	2	6	0.092073843
18	2	7	0.088048361
19	2	8	0.087579973
20	2	9	0.090734027
21	2	10	0.085400537
22	2	11	0.08003965
23	3	1	0.083965369
24	3	2	0.087292224
25	3	3	0.089244954
26	3	4	0.08866553
27	3	5	0.088962823
28	3	6	0.090357825
29	3	7	0.088857323
30	3	8	0.084650025
31	3	9	0.08467976
32	3	10	0.083621345
33	3	11	0.084021948
34	4	1	0.07578969
35	4	2	0.090455741
36	4	3	0.090599954
37	4	4	0.090912126
38	4	5	0.083008498
39	4	6	0.084156208
40	4	7	0.080682866
41	4	8	0.080787271
42	4	9	0.088076629
43	4	10	0.083318308
44	4	11	0.081080325
