Point	Row	Column	Zr_at
1	1	1	0.53708136
2	1	2	0.52306199
3	1	3	0.52792162
4	1	4	0.50802487
5	1	5	0.5260278
6	1	6	0.52140349
7	1	7	0.52827603
8	1	8	0.52307653
9	1	9	0.52494198
10	1	10	0.53187937
11	1	11	0.53072411
12	2	1	0.5086652
13	2	2	0.5211345
14	2	3	0.52025664
15	2	4	0.52303308
16	2	5	0.5182305
17	2	6	0.51758534
18	2	7	0.51954567
19	2	8	0.52204031
20	2	9	0.51845878
21	2	10	0.52355409
22	2	11	0.53226256
23	3	1	0.52000034
24	3	2	0.51974446
25	3	3	0.52309358
26	3	4	0.51270229
27	3	5	0.51932687
28	3	6	0.52153295
29	3	7	0.52058506
30	3	8	0.52364933
31	3	9	0.52381688
32	3	10	0.52667689
33	3	11	0.52985328
34	4	1	0.52532071
35	4	2	0.52573276
36	4	3	0.52324033
37	4	4	0.5319975
38	4	5	0.52282399
39	4	6	0.51714259
40	4	7	0.52198714
41	4	8	0.5258882
42	4	9	0.52439809
43	4	10	0.52791029
44	4	11	0.53563267
