Point	Row	Column	Norm_d
1	1	1	0.19869494
2	1	2	0.31908646
3	1	3	0.37063622
4	1	4	0.47797716
5	1	5	0.5650897
6	1	6	0.58792824
7	1	7	0.57846653
8	1	8	0.51582384
9	1	9	0.42022839
10	1	10	0.30570963
11	1	11	0.18303426
12	2	1	0.4101142
13	2	2	0.56639481
14	2	3	0.72398043
15	2	4	0.88515496
16	2	5	0.98042417
17	2	6	1
18	2	7	0.95758563
19	2	8	0.94159871
20	2	9	0.82610112
21	2	10	0.64241433
22	2	11	0.45154977
23	3	1	0.37455139
24	3	2	0.53866231
25	3	3	0.66721046
26	3	4	0.79738986
27	3	5	0.90864599
28	3	6	0.95660686
29	3	7	0.91288745
30	3	8	0.85807502
31	3	9	0.75301796
32	3	10	0.58792824
33	3	11	0.44045678
34	4	1	0
35	4	2	0.17128874
36	4	3	0.31680262
37	4	4	0.41924959
38	4	5	0.43393147
39	4	6	0.42577487
40	4	7	0.44371942
41	4	8	0.39216965
42	4	9	0.32822186
43	4	10	0.22153345
44	4	11	0.091680259
