FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: FWHM of 200 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),PROPERTY: Position of 200 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba0.85488Co0.74984Fe0.02068Y0.03619Zr0.19329O3,01505,11,1,11,4.1004858,0.36533999,0.48652339,0.47321287,0.84002048,7861.3789,2207.5046,342.67255,30.801022999999997,37.958107,44.107979,243.50999,145.746,0.8899959039446891,2.1499901050349233,1.4899931425590862,137.32636797866553,1.7487711,1.4059775,0.7976237666666667,66.19553121029999,0.8548839344403144,0.5089264706768594,1.529178173217511,1.8680400519983078,2.074556476363734,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.86568Co0.65662Fe0.02614Y0.06271Zr0.25452O3,01505,12,2,1,4.109835100000001,0.33002001,0.51784194,0.39228365,,6564.8091,3105.447,,30.729225,37.83585,,203.53,133.24799,0.8899990920126181,2.1499978065473355,1.489998479886293,137.32685989754697,1.6972996,1.430417,0.8108929833333334,68.9501211344,0.8656808831767626,0.524361810968799,1.503056665676747,1.837478570552386,1.9916840991455926,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.86534Co0.66501Fe0.02035Y0.06492Zr0.24972O3,01505,13,2,2,4.109975299999999,0.36366001,0.50473112,0.40341201,0.71471375,7458.6279,3181.4033,336.08633,30.728151,37.847248,44.083690999999995,207.528,133.24799,0.8899997842078935,2.1499994787044616,1.489999638730069,137.32696670327798,1.6987892999999998,1.4301755000000003,0.810573725,68.87983481895,0.8653402098130187,0.5239023957873372,1.503311641616334,1.8382037225917591,1.9937180027251897,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.84693Co0.67303Fe0.02394Y0.0623Zr0.24074O3,01505,14,2,3,4.1083884,0.39449,0.52727664,0.42322409,0.6271736,7481.1709,3356.4993,395.69781,30.740314,37.859691999999995,44.076904,211.52598999999998,133.24799,0.8899954415504592,2.149988988015154,1.489992368438409,137.32629663123583,1.7052968000000002,1.4273935,0.8093486333333334,68.50083774585,0.8469343378735321,0.5219006108206261,1.5062342570672727,1.8409771847044683,2.004738936781185,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.85972Co0.68581Fe0.02206Y0.05949Zr0.23265O3,01505,15,2,4,4.1069698,0.42197999,0.5343163000000001,0.40901464,0.66611272,7513.2422,3790.8540000000003,377.69208,30.751196000000004,37.874756,44.069202000000004,215.524,133.24799,0.8899973004053948,2.1499934785074144,1.4899954804539755,137.32658345255243,1.7116948999999997,1.424417,0.8076854333333333,68.16118777945,0.8597226077556336,0.5199508980282613,1.509384877116332,1.844772010193047,2.0147328402917766,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.86006Co0.68726Fe0.0218Y0.05594Zr0.235O3,01505,16,2,5,4.1070495000000005,0.44427001,0.52482754,0.38234288,,7899.2188,4501.9761,,30.750584000000003,37.878933,,219.52199,133.24799,0.8900047398684954,2.150011450244118,1.4900079352854585,137.32773136170883,1.7127396,1.423263,0.8069068666666666,68.1308818447,0.860055419607205,0.5196380931862002,1.510621332982111,1.8465674253593645,2.0156458810373046,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.86587Co0.70295Fe0.02343Y0.04592Zr0.2277O3,01505,17,2,6,4.1058879,0.45286000000000004,0.53964102,0.40183288,,7856.3901,4240.2983,,30.759496999999996,37.894428000000005,,223.51997000000003,133.24799,0.8899974573482221,2.1499938576389632,1.489995743200956,137.32660766883066,1.7232862999999998,1.4173755000000001,0.8036527916666667,67.58979920725,0.865872473721556,0.5164536254644525,1.5168837457956363,1.854029200982314,2.0317652852873156,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.8647Co0.71279Fe0.02133Y0.04603Zr0.21985O3,01505,18,2,7,4.1026324999999995,0.46200001,0.55120701,0.44825351,0.96820754,7741.5796,3845.8022,316.01041000000004,30.784508000000002,37.922531,44.055271000000005,227.51799,133.24799,0.8900042793879217,2.150010337847226,1.4900071643685429,137.3276603095563,1.7276362,1.41575,0.8027863416666667,67.34609858955,0.8646958422820862,0.5151572300857794,1.5186370036003716,1.8560444878460878,2.0391331225661418,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.8626Co0.72413Fe0.02134Y0.04174Zr0.21279O3,01505,19,2,8,4.0995097000000005,0.45383999,0.54509377,0.44284832,,7685.5078,3676.4927,,30.80854,37.955811,,231.51597999999998,133.24799,0.8899959670284109,2.1499902574281835,1.4899932481711597,137.3263777124838,1.7343501,1.412408,0.8009745666666668,66.98951193435,0.8626039088281539,0.5131581951235861,1.522216142522687,1.860225418107732,2.049968327087742,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
Ba0.85971Co0.72953Fe0.02121Y0.03948Zr0.20978O3,01505,20,2,9,4.1002358999999995,0.44172001,0.54294217,0.44199067,0.78024375,7642.4268,3596.2747,335.6954,30.802947999999997,37.950695,44.14653,235.51398999999998,133.24799,0.8899979112361798,2.1499949541098724,1.4899965030807953,137.32667770374255,1.7375037,1.4107825,0.8000737416666668,66.82497987635,0.8597120176801779,0.5122279228735914,1.5239733652138954,1.8623239652596546,2.0550201131050962,6_Apr_2018,Pulsed Laser Deposition,BZYF631/ BZYCF1135/ BZC19,550.0,20,850,N,250.0,20,50.0,SiO2,0,0,160,0,20,52,0,77.33333333333333,0,0,240,0,120,0,0
