Point	Row	Column	Frac_200
1	1	1	0.041518148
2	1	2	0.036188107
3	1	3	0.035298079
4	1	4	0.037640363
5	1	5	
6	1	6	
7	1	7	0.029820947
8	1	8	
9	1	9	0.028527193
10	1	10	
11	1	11	0.032912709
12	2	1	
13	2	2	0.030619783
14	2	3	0.035225216
15	2	4	0.032331701
16	2	5	
17	2	6	
18	2	7	0.026547929
19	2	8	
20	2	9	0.029003274
21	2	10	0.039095454
22	2	11	0.038674567
23	3	1	0.032785032
24	3	2	0.037953489
25	3	3	0.029893111
26	3	4	0.028289342
27	3	5	0.03026584
28	3	6	0.027864188
29	3	7	0.031958256
30	3	8	0.030564658
31	3	9	0.032545939
32	3	10	0.030650077
33	3	11	0.039553203
34	4	1	0.072180144
35	4	2	0.048755184
36	4	3	0.04304019
37	4	4	0.042660359
38	4	5	0.038159445
39	4	6	0.037578505
40	4	7	0.03771124
41	4	8	0.040192213
42	4	9	0.05020494
43	4	10	0.054295309
44	4	11	0.094119385
