Point	Row	Column	FWHM_111
1	1	1	0.50113571
2	1	2	0.50311828
3	1	3	0.44986966
4	1	4	0.4066827
5	1	5	0.38018501
6	1	6	0.39838037
7	1	7	0.41963303
8	1	8	0.45614588
9	1	9	0.46497411
10	1	10	0.48633796
11	1	11	0.47321287
12	2	1	0.39228365
13	2	2	0.40341201
14	2	3	0.42322409
15	2	4	0.40901464
16	2	5	0.38234288
17	2	6	0.40183288
18	2	7	0.44825351
19	2	8	0.44284832
20	2	9	0.44199067
21	2	10	0.45081177
22	2	11	0.43233785
23	3	1	0.41062757
24	3	2	0.45410493
25	3	3	0.43197557
26	3	4	0.42425284
27	3	5	0.42275023
28	3	6	0.42567205
29	3	7	0.42233342
30	3	8	0.42663911
31	3	9	0.41711369
32	3	10	0.42203167
33	3	11	0.43797928
34	4	1	0.49832183
35	4	2	0.45423448
36	4	3	0.44711947
37	4	4	0.46082506
38	4	5	0.44209874
39	4	6	0.41881618
40	4	7	0.40789956
41	4	8	0.45768565
42	4	9	0.45351917
43	4	10	0.47342137
44	4	11	0.48824552
