Point	Row	Column	d_um
1	1	1	0.29076999
2	1	2	0.31839001
3	1	3	0.34272
4	1	4	0.36607999
5	1	5	0.38640001
6	1	6	0.39917001
7	1	7	0.41152999
8	1	8	0.41100001
9	1	9	0.40066999
10	1	10	0.38699001
11	1	11	0.36533999
12	2	1	0.33002001
13	2	2	0.36366001
14	2	3	0.39449
15	2	4	0.42197999
16	2	5	0.44427001
17	2	6	0.45286
18	2	7	0.46200001
19	2	8	0.45383999
20	2	9	0.44172001
21	2	10	0.42196
22	2	11	0.39574999
23	3	1	0.31051001
24	3	2	0.33992001
25	3	3	0.36568001
26	3	4	0.39254999
27	3	5	0.40882
28	3	6	0.41516
29	3	7	0.41729999
30	3	8	0.4077
31	3	9	0.39493999
32	3	10	0.37527999
33	3	11	0.34691
34	4	1	0.2412
35	4	2	0.25931001
36	4	3	0.28007001
37	4	4	0.29639
38	4	5	0.30737001
39	4	6	0.3075
40	4	7	0.30914
41	4	8	0.30309999
42	4	9	0.29174
43	4	10	0.27706999
44	4	11	0.25736001
