Point	Row	Column	Frac_110
1	1	1	0.79286069
2	1	2	0.75747514
3	1	3	0.70713896
4	1	4	0.66322511
5	1	5	0.65523624
6	1	6	0.65527576
7	1	7	0.67860645
8	1	8	0.70062798
9	1	9	0.70994288
10	1	10	0.74656397
11	1	11	0.75506282
12	2	1	0.67886609
13	2	2	0.67953241
14	2	3	0.66597754
15	2	4	0.64315856
16	2	5	0.63697237
17	2	6	0.64946622
18	2	7	0.6503675
19	2	8	0.67642206
20	2	9	0.66028726
21	2	10	0.67574733
22	2	11	0.70598412
23	3	1	0.6760093
24	3	2	0.70457715
25	3	3	0.68974417
26	3	4	0.66106093
27	3	5	0.65354079
28	3	6	0.65610456
29	3	7	0.65297127
30	3	8	0.6625796
31	3	9	0.67314416
32	3	10	0.68702328
33	3	11	0.72227228
34	4	1	0.74419546
35	4	2	0.73342544
36	4	3	0.72584838
37	4	4	0.73435056
38	4	5	0.68661034
39	4	6	0.66611934
40	4	7	0.68481195
41	4	8	0.69783139
42	4	9	0.7191748
43	4	10	0.74368393
44	4	11	0.76246101
