Point	Row	Column	Pos_200
1	1	1	44.096077
2	1	2	44.026306
3	1	3	44.089947
4	1	4	44.005424
5	1	5	
6	1	6	
7	1	7	44.098766
8	1	8	
9	1	9	44.095871
10	1	10	
11	1	11	44.107979
12	2	1	
13	2	2	44.083691
14	2	3	44.076904
15	2	4	44.069202
16	2	5	
17	2	6	
18	2	7	44.055271
19	2	8	
20	2	9	44.14653
21	2	10	44.137398
22	2	11	44.115711
23	3	1	44.082401
24	3	2	44.139061
25	3	3	44.120941
26	3	4	44.109219
27	3	5	44.059002
28	3	6	44.12521
29	3	7	44.136372
30	3	8	44.16032
31	3	9	44.134945
32	3	10	44.136581
33	3	11	44.148983
34	4	1	44.046494
35	4	2	44.099987
36	4	3	44.118717
37	4	4	44.132565
38	4	5	44.18045
39	4	6	44.177063
40	4	7	44.146763
41	4	8	44.159237
42	4	9	44.133965
43	4	10	44.183113
44	4	11	44.187965
