Point	Row	Column	MaxInt_110
1	1	1	7785.3691
2	1	2	7483.9277
3	1	3	7055.8511
4	1	4	7151.6104
5	1	5	7357.3242
6	1	6	7362.0381
7	1	7	7755.5547
8	1	8	7709.9692
9	1	9	8043.8867
10	1	10	7823.708
11	1	11	7861.3789
12	2	1	6564.8091
13	2	2	7458.6279
14	2	3	7481.1709
15	2	4	7513.2422
16	2	5	7899.2188
17	2	6	7856.3901
18	2	7	7741.5796
19	2	8	7685.5078
20	2	9	7642.4268
21	2	10	7481.8403
22	2	11	7911.7622
23	3	1	6317.2617
24	3	2	7109.2524
25	3	3	7206.4502
26	3	4	7287.438
27	3	5	7261.0215
28	3	6	7386.0308
29	3	7	7462.5244
30	3	8	7475.3691
31	3	9	7471.9424
32	3	10	7179.7437
33	3	11	7317.1162
34	4	1	5572.0181
35	4	2	5846.8691
36	4	3	5982.7954
37	4	4	6442.6655
38	4	5	5944.396
39	4	6	5801.3643
40	4	7	6021.7407
41	4	8	5819.6689
42	4	9	5910.1548
43	4	10	6164.6646
44	4	11	6159.5762
