Point	Row	Column	Y_at
1	1	1	3.2257497
2	1	2	3.29038
3	1	3	2.6618299
4	1	4	2.48733
5	1	5	2.4293401
6	1	6	2.23455
7	1	7	2.3098397
8	1	8	2.0931501
9	1	9	1.91302
10	1	10	1.95842
11	1	11	1.95116
12	2	1	3.3613203
13	2	2	3.4801297
14	2	3	3.3729904
15	2	4	3.1986401
16	2	5	3.00736
17	2	6	2.4611199
18	2	7	2.46838
19	2	8	2.2407999
20	2	9	2.1226802
21	2	10	2.4586301
22	2	11	2.0727901
23	3	1	3.6873
24	3	2	3.5392699
25	3	3	3.30058
26	3	4	3.21071
27	3	5	3.10115
28	3	6	3.1634297
29	3	7	2.6081202
30	3	8	2.4314103
31	3	9	2.4932396
32	3	10	2.2504599
33	3	11	2.3152001
34	4	1	3.0572796
35	4	2	3.1703999
36	4	3	3.4936903
37	4	4	3.4323797
38	4	5	3.3628197
39	4	6	2.9057603
40	4	7	3.0737801
41	4	8	2.80952
42	4	9	2.7624099
43	4	10	2.4561102
44	4	11	2.1889801
