Point	Row	Column	y_mm
1	1	1	145.746
2	1	2	145.746
3	1	3	145.746
4	1	4	145.746
5	1	5	145.746
6	1	6	145.746
7	1	7	145.746
8	1	8	145.746
9	1	9	145.746
10	1	10	145.746
11	1	11	145.746
12	2	1	133.24799
13	2	2	133.24799
14	2	3	133.24799
15	2	4	133.24799
16	2	5	133.24799
17	2	6	133.24799
18	2	7	133.24799
19	2	8	133.24799
20	2	9	133.24799
21	2	10	133.24799
22	2	11	133.24799
23	3	1	120.752
24	3	2	120.752
25	3	3	120.752
26	3	4	120.752
27	3	5	120.752
28	3	6	120.752
29	3	7	120.752
30	3	8	120.752
31	3	9	120.752
32	3	10	120.752
33	3	11	120.752
34	4	1	108.254
35	4	2	108.254
36	4	3	108.254
37	4	4	108.254
38	4	5	108.254
39	4	6	108.254
40	4	7	108.254
41	4	8	108.254
42	4	9	108.254
43	4	10	108.254
44	4	11	108.254
