Point	Row	Column	Zr_at
1	1	1	12.659879
2	1	2	12.68838
3	1	3	12.01567
4	1	4	11.89954
5	1	5	11.796681
6	1	6	11.72917
7	1	7	11.352709
8	1	8	10.986661
9	1	9	10.53497
10	1	10	10.39149
11	1	11	10.42033
12	2	1	13.642451
13	2	2	13.387539
14	2	3	13.034501
15	2	4	12.51004
16	2	5	12.634
17	2	6	12.20332
18	2	7	11.79038
19	2	8	11.42455
20	2	9	11.280161
21	2	10	10.19101
22	2	11	10.709801
23	3	1	13.4209
24	3	2	13.54477
25	3	3	13.16313
26	3	4	13.00634
27	3	5	12.56121
28	3	6	12.161018
29	3	7	11.975061
30	3	8	11.710941
31	3	9	11.265359
32	3	10	11.12349
33	3	11	10.8711
34	4	1	13.167089
35	4	2	13.08619
36	4	3	12.603831
37	4	4	12.564619
38	4	5	12.325959
39	4	6	11.792021
40	4	7	11.68835
41	4	8	11.50003
42	4	9	10.86822
43	4	10	10.895931
44	4	11	10.82695
