Point	Row	Column	MaxInt_200
1	1	1	407.68082
2	1	2	357.54202
3	1	3	352.20517
4	1	4	405.87909
5	1	5	
6	1	6	
7	1	7	340.81311
8	1	8	
9	1	9	323.2225
10	1	10	
11	1	11	342.67255
12	2	1	
13	2	2	336.08633
14	2	3	395.69781
15	2	4	377.69208
16	2	5	
17	2	6	
18	2	7	316.01041
19	2	8	
20	2	9	335.6954
21	2	10	432.86295
22	2	11	433.41483
23	3	1	306.37393
24	3	2	382.95444
25	3	3	312.32336
26	3	4	311.85751
27	3	5	336.26196
28	3	6	313.67828
29	3	7	365.237
30	3	8	344.83722
31	3	9	361.26193
32	3	10	320.30896
33	3	11	400.7012
34	4	1	540.43475
35	4	2	388.67642
36	4	3	354.75821
37	4	4	374.27142
38	4	5	330.36914
39	4	6	327.27859
40	4	7	331.60535
41	4	8	335.18896
42	4	9	412.58255
43	4	10	450.07343
44	4	11	760.34772
