Point	Row	Column	d_um
1	1	1	0.24905001
2	1	2	0.26455
3	1	3	0.27794999
4	1	4	0.28553
5	1	5	0.28871
6	1	6	0.28622001
7	1	7	0.27846
8	1	8	0.26934001
9	1	9	0.25288001
10	1	10	0.23803
11	1	11	0.21998
12	2	1	0.29493001
13	2	2	0.31941
14	2	3	0.34197
15	2	4	0.35710001
16	2	5	0.36695001
17	2	6	0.36862001
18	2	7	0.36328
19	2	8	0.35121
20	2	9	0.33210999
21	2	10	0.30972999
22	2	11	0.28472
23	3	1	0.27866
24	3	2	0.30313
25	3	3	0.32969999
26	3	4	0.34628999
27	3	5	0.36004001
28	3	6	0.36769
29	3	7	0.36511999
30	3	8	0.35811001
31	3	9	0.3409
32	3	10	0.32010999
33	3	11	0.29727
34	4	1	0.21139
35	4	2	0.22961999
36	4	3	0.24803001
37	4	4	0.26176
38	4	5	0.27450001
39	4	6	0.28215
40	4	7	0.28547001
41	4	8	0.28295001
42	4	9	0.27487999
43	4	10	0.26146001
44	4	11	0.24555001
