Point	Row	Column	Pos_110
1	1	1	30.129982
2	1	2	30.132751
3	1	3	30.129326
4	1	4	30.125103
5	1	5	30.130405
6	1	6	30.138363
7	1	7	30.130247
8	1	8	30.130371
9	1	9	30.127913
10	1	10	30.126652
11	1	11	30.116144
12	2	1	30.139469
13	2	2	30.143419
14	2	3	30.137751
15	2	4	30.136574
16	2	5	30.118441
17	2	6	30.093071
18	2	7	30.084072
19	2	8	30.074522
20	2	9	30.081213
21	2	10	30.116455
22	2	11	30.130203
23	3	1	30.133341
24	3	2	30.140579
25	3	3	30.144194
26	3	4	30.147552
27	3	5	30.150095
28	3	6	30.155458
29	3	7	30.15893
30	3	8	30.171295
31	3	9	30.170271
32	3	10	30.171413
33	3	11	30.169416
34	4	1	30.134228
35	4	2	30.131788
36	4	3	30.137579
37	4	4	30.139948
38	4	5	30.148573
39	4	6	30.153135
40	4	7	30.156898
41	4	8	30.160299
42	4	9	30.165142
43	4	10	30.166471
44	4	11	30.173172
