Point	Row	Column	MaxInt_110
1	1	1	3432.7415
2	1	2	3756.167
3	1	3	4213.2397
4	1	4	4136.3325
5	1	5	4501.2695
6	1	6	4881.6099
7	1	7	4649.3379
8	1	8	4431.8218
9	1	9	4027.1218
10	1	10	3545.2439
11	1	11	2958.5662
12	2	1	3983.6477
13	2	2	4331.8955
14	2	3	4679.731
15	2	4	5129.2822
16	2	5	5452.4951
17	2	6	3777.3264
18	2	7	1675.043
19	2	8	1835.7504
20	2	9	3653.2695
21	2	10	4272.5752
22	2	11	3901.2761
23	3	1	3856.9546
24	3	2	4211.189
25	3	3	4476.5068
26	3	4	4880.9082
27	3	5	5036.4219
28	3	6	5215.9326
29	3	7	5166.3374
30	3	8	4969.7212
31	3	9	4727.4111
32	3	10	4324.207
33	3	11	4101.3867
34	4	1	3467.2043
35	4	2	3635.4861
36	4	3	3881.3391
37	4	4	4160.8955
38	4	5	4406.4443
39	4	6	4541.6802
40	4	7	4549.1235
41	4	8	4525.1157
42	4	9	4363.6372
43	4	10	4193.7017
44	4	11	4026.2119
