Point	Row	Column	Y_at
1	1	1	0.099523954
2	1	2	0.099906862
3	1	3	0.099679507
4	1	4	0.099920355
5	1	5	0.097989418
6	1	6	0.10126051
7	1	7	0.099256337
8	1	8	0.098974213
9	1	9	0.097420707
10	1	10	0.098935872
11	1	11	0.099044673
12	2	1	0.10193273
13	2	2	0.10195921
14	2	3	0.10402972
15	2	4	0.10254443
16	2	5	0.10376161
17	2	6	0.10468421
18	2	7	0.1028128
19	2	8	0.10369437
20	2	9	0.10063059
21	2	10	0.10225734
22	2	11	0.10251757
23	3	1	0.10143153
24	3	2	0.10306674
25	3	3	0.10217715
26	3	4	0.10473178
27	3	5	0.10414468
28	3	6	0.10380624
29	3	7	0.10261348
30	3	8	0.10507853
31	3	9	0.10272174
32	3	10	0.10283343
33	3	11	0.10267346
34	4	1	0.096660756
35	4	2	0.10128457
36	4	3	0.1000675
37	4	4	0.10246731
38	4	5	0.10289001
39	4	6	0.10258591
40	4	7	0.10234784
41	4	8	0.10085924
42	4	9	0.10216561
43	4	10	0.10063758
44	4	11	0.10141832
