Point	Row	Column	Frac_111
1	1	1	0.25521803
2	1	2	0.22577724
3	1	3	0.18401434
4	1	4	0.20810381
5	1	5	0.15827085
6	1	6	0.12549657
7	1	7	0.12513018
8	1	8	0.13528043
9	1	9	0.15283696
10	1	10	0.19319889
11	1	11	0.25502777
12	2	1	0.13042057
13	2	2	0.11431069
14	2	3	0.099382229
15	2	4	0.078404896
16	2	5	0.049571253
17	2	6	0
18	2	7	0
19	2	8	0
20	2	9	0
21	2	10	0.069662251
22	2	11	0.095913082
23	3	1	0.15140198
24	3	2	0.1473715
25	3	3	0.15167077
26	3	4	0.12668589
27	3	5	0.12249736
28	3	6	0.12237512
29	3	7	0.12940997
30	3	8	0.14230368
31	3	9	0.14420681
32	3	10	0.14772083
33	3	11	0.15334484
34	4	1	0.14371128
35	4	2	0.13493821
36	4	3	0.14297032
37	4	4	0.14085215
38	4	5	0.14651002
39	4	6	0.14649951
40	4	7	0.13591328
41	4	8	0.13893211
42	4	9	0.14255871
43	4	10	0.14241032
44	4	11	0.13431084
