Point	Row	Column	Frac_110
1	1	1	0.74478197
2	1	2	0.77422279
3	1	3	0.81598568
4	1	4	0.79189622
5	1	5	0.78859991
6	1	6	0.82003474
7	1	7	0.81423682
8	1	8	0.80114615
9	1	9	0.77856869
10	1	10	0.80680114
11	1	11	0.74497223
12	2	1	0.79229033
13	2	2	0.80933523
14	2	3	0.81984776
15	2	4	0.83848298
16	2	5	0.83809984
17	2	6	0.77156639
18	2	7	0.6508137
19	2	8	0.66599429
20	2	9	0.81273848
21	2	10	0.82337391
22	2	11	0.81829619
23	3	1	0.78412908
24	3	2	0.79309648
25	3	3	0.79130721
26	3	4	0.81082016
27	3	5	0.81151813
28	3	6	0.8220185
29	3	7	0.81124967
30	3	8	0.79642338
31	3	9	0.79768318
32	3	10	0.79234195
33	3	11	0.77872562
34	4	1	0.85628873
35	4	2	0.86506182
36	4	3	0.85702968
37	4	4	0.85914785
38	4	5	0.85349
39	4	6	0.85350049
40	4	7	0.80335402
41	4	8	0.86106789
42	4	9	0.85744131
43	4	10	0.85758966
44	4	11	0.86568916
