Point	Row	Column	Norm_d
1	1	1	0.23952173
2	1	2	0.33810341
3	1	3	0.42332888
4	1	4	0.47153851
5	1	5	0.49176365
6	1	6	0.475927
7	1	7	0.42657253
8	1	8	0.36856833
9	1	9	0.26388094
10	1	10	0.16943331
11	1	11	0.054633338
12	2	1	0.53132355
13	2	2	0.68701899
14	2	3	0.83050311
15	2	4	0.92673153
16	2	5	0.98937863
17	2	6	1
18	2	7	0.96603703
19	2	8	0.88927048
20	2	9	0.7677924
21	2	10	0.62545317
22	2	11	0.46638682
23	3	1	0.42784455
24	3	2	0.58347642
25	3	3	0.75246453
26	3	4	0.85797876
27	3	5	0.94543028
28	3	6	0.99408507
29	3	7	0.97773963
30	3	8	0.93315524
31	3	9	0.82369775
32	3	10	0.6914711
33	3	11	0.54620618
34	4	1	0
35	4	2	0.1159448
36	4	3	0.2330344
37	4	4	0.32035872
38	4	5	0.4013865
39	4	6	0.45004135
40	4	7	0.4711569
41	4	8	0.45512941
42	4	9	0.40380335
43	4	10	0.31845069
44	4	11	0.21726134
