Point	Row	Column	MaxInt_111
1	1	1	1907.61
2	1	2	2109.1099
3	1	3	2240.6504
4	1	4	1997.0376
5	1	5	1583.1907
6	1	6	1681.766
7	1	7	2303.6738
8	1	8	2331.7192
9	1	9	2180.6248
10	1	10	2040.5044
11	1	11	1885.0659
12	2	1	2470.3584
13	2	2	2627.1228
14	2	3	2498.5251
15	2	4	1387.0237
16	2	5	328.84744
17	2	6	
18	2	7	764.20087
19	2	8	2097.3435
20	2	9	2273.5039
21	2	10	2356.9509
22	2	11	2186.1719
23	3	1	2454.7532
24	3	2	2742.9412
25	3	3	2766.626
26	3	4	1834.7207
27	3	5	849.82941
28	3	6	686.69751
29	3	7	1597.6116
30	3	8	2705.7825
31	3	9	2881.9565
32	3	10	2754.6514
33	3	11	2496.0217
34	4	1	2174.2981
35	4	2	2378.9644
36	4	3	2494.3135
37	4	4	2660.8298
38	4	5	2677.7949
39	4	6	2747.5798
40	4	7	2727.1233
41	4	8	2600.0171
42	4	9	2439.7178
43	4	10	2283.1367
44	4	11	2076.9277
