Point	Row	Column	Frac_110
1	1	1	0.76147467
2	1	2	0.75333464
3	1	3	0.7509917
4	1	4	0.7884751
5	1	5	0.8147397
6	1	6	0.83770019
7	1	7	0.76359326
8	1	8	0.75281453
9	1	9	0.75770491
10	1	10	0.75184435
11	1	11	0.75201535
12	2	1	0.69645762
13	2	2	0.71371239
14	2	3	0.7116437
15	2	4	0.8069092
16	2	5	0.78675997
17	2	6	0.70315641
18	2	7	0.85965919
19	2	8	0.75563204
20	2	9	0.72443056
21	2	10	0.70146465
22	2	11	0.72720754
23	3	1	0.70301461
24	3	2	0.69825506
25	3	3	0.71746153
26	3	4	0.78350157
27	3	5	0.84442705
28	3	6	0.84158325
29	3	7	0.80729604
30	3	8	0.71702415
31	3	9	0.70408821
32	3	10	0.70872521
33	3	11	0.70968252
34	4	1	0.72295421
35	4	2	0.72209442
36	4	3	0.72905302
37	4	4	0.72002083
38	4	5	0.72671348
39	4	6	0.72224331
40	4	7	0.72157574
41	4	8	0.72236228
42	4	9	0.72536457
43	4	10	0.72923684
44	4	11	0.73412371
