Point	Row	Column	_s_Sigma
1	1	1	0.11478899
2	1	2	0.11813699
3	1	3	0.1250332
4	1	4	0.1417858
5	1	5	0.14865839
6	1	6	0.15861498
7	1	7	0.1716328
8	1	8	0.18197002
9	1	9	0.18966
10	1	10	0.20295702
11	1	11	0.221706
12	2	1	0.0997684
13	2	2	0.1091542
14	2	3	0.1180782
15	2	4	0.1284928
16	2	5	0.13726781
17	2	6	0.1433636
18	2	7	0.16152538
19	2	8	0.174725
20	2	9	0.18449961
21	2	10	0.1906458
22	2	11	0.20048502
23	3	1	0.089152411
24	3	2	0.094389394
25	3	3	0.1028002
26	3	4	0.11439961
27	3	5	0.12433399
28	3	6	0.1314632
29	3	7	0.13997158
30	3	8	0.15678978
31	3	9	0.16504042
32	3	10	0.17759342
33	3	11	0.18314639
34	4	1	0.085772991
35	4	2	0.089279793
36	4	3	0.101055
37	4	4	0.098517388
38	4	5	0.1091944
39	4	6	0.12066041
40	4	7	0.1242614
41	4	8	0.13428199
42	4	9	0.14048359
43	4	10	0.1436726
44	4	11	0.1493464
