Point	Row	Column	_s_FWHM
1	1	1	0.90843749
2	1	2	0.91114831
3	1	3	0.90661699
4	1	4	0.89821678
5	1	5	0.89382261
6	1	6	0.87968934
7	1	7	0.87180281
8	1	8	0.85919869
9	1	9	0.85056722
10	1	10	0.83426028
11	1	11	0.81882638
12	2	1	0.94802839
13	2	2	0.94259721
14	2	3	0.93940938
15	2	4	0.92621583
16	2	5	0.92141187
17	2	6	0.91379899
18	2	7	0.89609969
19	2	8	0.88224518
20	2	9	0.87032562
21	2	10	0.85832381
22	2	11	0.83873349
23	3	1	0.95920688
24	3	2	0.95700949
25	3	3	0.95468241
26	3	4	0.94119668
27	3	5	0.9307577
28	3	6	0.92339438
29	3	7	0.91032112
30	3	8	0.8966189
31	3	9	0.88584149
32	3	10	0.86495966
33	3	11	0.84159034
34	4	1	0.95337349
35	4	2	0.95216793
36	4	3	0.94910997
37	4	4	0.94008392
38	4	5	0.93081057
39	4	6	0.91484469
40	4	7	0.91085178
41	4	8	0.89799273
42	4	9	0.88710093
43	4	10	0.86851859
44	4	11	0.84878159
