Point	Row	Column	_s_Position
1	1	1	0.25959146
2	1	2	0.24764636
3	1	3	0.22113943
4	1	4	0.21313781
5	1	5	0.20430969
6	1	6	0.17764251
7	1	7	0.15565163
8	1	8	0.15585425
9	1	9	0.12705895
10	1	10	0.10661747
11	1	11	0.10395683
12	2	1	0.28022587
13	2	2	0.26514319
14	2	3	0.25878239
15	2	4	0.24296731
16	2	5	0.2142591
17	2	6	0.19861917
18	2	7	0.17688411
19	2	8	0.15559088
20	2	9	0.14769126
21	2	10	0.11248273
22	2	11	0.089937121
23	3	1	0.28941253
24	3	2	0.28421351
25	3	3	0.26545385
26	3	4	0.2359848
27	3	5	0.23084961
28	3	6	0.21836466
29	3	7	0.19314179
30	3	8	0.17850012
31	3	9	0.15932322
32	3	10	0.14210494
33	3	11	0.1036209
34	4	1	0.31964073
35	4	2	0.31893924
36	4	3	0.32715824
37	4	4	0.28176135
38	4	5	0.27117971
39	4	6	0.24068956
40	4	7	0.23374015
41	4	8	0.22312845
42	4	9	0.19317259
43	4	10	0.1600107
44	4	11	0.11037387
