Point	Row	Column	110_s_MaxIntensity
1	1	1	0.70405704
2	1	2	0.7533862
3	1	3	0.79770064
4	1	4	0.83531028
5	1	5	0.86462593
6	1	6	0.88427061
7	1	7	0.89319426
8	1	8	0.8907823
9	1	9	0.87693995
10	1	10	0.85213429
11	1	11	0.81737924
12	2	1	0.80920523
13	2	2	0.86360294
14	2	3	0.91116703
15	2	4	0.95003718
16	2	5	0.97858477
17	2	6	0.99552232
18	2	7	1
19	2	8	0.99168491
20	2	9	0.97081292
21	2	10	0.93819922
22	2	11	0.89519751
23	3	1	0.82052249
24	3	2	0.8711704
25	3	3	0.91380876
26	3	4	0.94675928
27	3	5	0.96870875
28	3	6	0.97879034
29	3	7	0.97662997
30	3	8	0.9623633
31	3	9	0.93662429
32	3	10	0.9005065
33	3	11	0.85549384
34	4	1	0.72869188
35	4	2	0.76875651
36	4	3	0.80114812
37	4	4	0.82457489
38	4	5	0.83822292
39	4	6	0.84166259
40	4	7	0.83492309
41	4	8	0.81845087
42	4	9	0.79305607
43	4	10	0.75984579
44	4	11	0.7201466
