Point	Row	Column	Y_at
1	1	1	0.057394493
2	1	2	0.059068494
3	1	3	0.0625166
4	1	4	0.0708929
5	1	5	0.074329197
6	1	6	0.079307489
7	1	7	0.085816398
8	1	8	0.090985008
9	1	9	0.094829999
10	1	10	0.10147851
11	1	11	0.110853
12	2	1	0.0498842
13	2	2	0.054577101
14	2	3	0.059039101
15	2	4	0.064246401
16	2	5	0.068633907
17	2	6	0.071681798
18	2	7	0.080762692
19	2	8	0.087362498
20	2	9	0.092249803
21	2	10	0.0953229
22	2	11	0.10024251
23	3	1	0.044576205
24	3	2	0.047194697
25	3	3	0.051400099
26	3	4	0.057199806
27	3	5	0.062166993
28	3	6	0.0657316
29	3	7	0.069985792
30	3	8	0.07839489
31	3	9	0.082520209
32	3	10	0.088796712
33	3	11	0.091573194
34	4	1	0.042886496
35	4	2	0.044639897
36	4	3	0.050527502
37	4	4	0.049258694
38	4	5	0.054597199
39	4	6	0.060330205
40	4	7	0.062130701
41	4	8	0.067140996
42	4	9	0.070241794
43	4	10	0.0718363
44	4	11	0.074673198
