Point	Row	Column	Norm_d
1	1	1	0.16367188
2	1	2	0.28195313
3	1	3	0.37039062
4	1	4	0.45484376
5	1	5	0.51578122
6	1	6	0.5461719
7	1	7	0.56992185
8	1	8	0.55335939
9	1	9	0.50937498
10	1	10	0.45070311
11	1	11	0.39570314
12	2	1	0.5589844
13	2	2	0.69406247
14	2	3	0.81757814
15	2	4	0.90304685
16	2	5	0.95984375
17	2	6	1
18	2	7	0.99312502
19	2	8	0.9503125
20	2	9	0.8792969
21	2	10	0.77328128
22	2	11	0.64499998
23	3	1	0.53375
24	3	2	0.66554689
25	3	3	0.75976562
26	3	4	0.84312499
27	3	5	0.87875003
28	3	6	0.88046873
29	3	7	0.85609376
30	3	8	0.78742188
31	3	9	0.70781249
32	3	10	0.60859376
33	3	11	0.4790625
34	4	1	0.15578125
35	4	2	0.22992188
36	4	3	0.29539064
37	4	4	0.32023439
38	4	5	0.33031249
39	4	6	0.32382813
40	4	7	0.28218749
41	4	8	0.23289062
42	4	9	0.16398437
43	4	10	0.082578123
44	4	11	0
