Point	Row	Column	Zr_at
1	1	1	0.45421875
2	1	2	0.45557415
3	1	3	0.45330849
4	1	4	0.44910839
5	1	5	0.44691131
6	1	6	0.43984467
7	1	7	0.4359014
8	1	8	0.42959934
9	1	9	0.42528361
10	1	10	0.41713014
11	1	11	0.40941319
12	2	1	0.47401419
13	2	2	0.47129861
14	2	3	0.46970469
15	2	4	0.46310791
16	2	5	0.46070594
17	2	6	0.45689949
18	2	7	0.44804984
19	2	8	0.44112259
20	2	9	0.43516281
21	2	10	0.42916191
22	2	11	0.41936675
23	3	1	0.47960344
24	3	2	0.47850475
25	3	3	0.4773412
26	3	4	0.47059834
27	3	5	0.46537885
28	3	6	0.46169719
29	3	7	0.45516056
30	3	8	0.44830945
31	3	9	0.44292074
32	3	10	0.43247983
33	3	11	0.42079517
34	4	1	0.47668675
35	4	2	0.47608396
36	4	3	0.47455499
37	4	4	0.47004196
38	4	5	0.46540529
39	4	6	0.45742235
40	4	7	0.45542589
41	4	8	0.44899637
42	4	9	0.44355047
43	4	10	0.4342593
44	4	11	0.42439079
