Point	Row	Column	MaxInt_110
1	1	1	1110.1582
2	1	2	1140.1139
3	1	3	1116.4159
4	1	4	1250.1487
5	1	5	1235.6729
6	1	6	1270.7468
7	1	7	1205.7905
8	1	8	1166.8453
9	1	9	1049.0884
10	1	10	972.96875
11	1	11	906.0993
12	2	1	997.99908
13	2	2	968.10718
14	2	3	1115.9272
15	2	4	1100.6018
16	2	5	1193.4503
17	2	6	1125.4034
18	2	7	1094.0226
19	2	8	1123.3071
20	2	9	1014.071
21	2	10	997.47656
22	2	11	880.83698
23	3	1	676.54224
24	3	2	729.883
25	3	3	756.651
26	3	4	782.0332
27	3	5	813.46143
28	3	6	822.52112
29	3	7	804.37646
30	3	8	824.20514
31	3	9	772.13544
32	3	10	743.87054
33	3	11	719.32953
34	4	1	355.98254
35	4	2	421.78769
36	4	3	399.48773
37	4	4	368.90533
38	4	5	423.62051
39	4	6	456.47543
40	4	7	455.74185
41	4	8	513.68665
42	4	9	536.24121
43	4	10	547.3689
44	4	11	584.07892
