Point	Row	Column	Pos_110
1	1	1	31.226095
2	1	2	31.228004
3	1	3	31.243532
4	1	4	31.247099
5	1	5	31.249676
6	1	6	31.27677
7	1	7	31.257175
8	1	8	31.261892
9	1	9	31.253021
10	1	10	31.245333
11	1	11	31.264467
12	2	1	31.268404
13	2	2	31.299114
14	2	3	31.300709
15	2	4	31.264292
16	2	5	31.227011
17	2	6	31.23798
18	2	7	31.210043
19	2	8	31.210516
20	2	9	31.222513
21	2	10	31.231287
22	2	11	31.221603
23	3	1	31.252047
24	3	2	31.25831
25	3	3	31.282358
26	3	4	31.25913
27	3	5	31.236963
28	3	6	31.216879
29	3	7	31.204571
30	3	8	31.198446
31	3	9	31.205387
32	3	10	31.207487
33	3	11	31.208002
34	4	1	31.260254
35	4	2	31.264378
36	4	3	31.259769
37	4	4	31.270147
38	4	5	31.238964
39	4	6	31.208916
40	4	7	31.226435
41	4	8	31.209515
42	4	9	31.197388
43	4	10	31.207863
44	4	11	31.207909
