FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant ($\r{A}$),PROPERTY: FWHM of 110 peak ($\degree$),PROPERTY: FWHM of 111 peak ($\degree$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Position of 110 peak ($\degree$),PROPERTY: Position of 111 peak ($\degree$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency,PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle,PREPARATION STEP DETAIL: BZC91 Substrate Angle,PREPARATION STEP DETAIL: BZF19 Substrate Angle,PREPARATION STEP DETAIL: BZY82 Substrate Angle,PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle,PREPARATION STEP DETAIL: BZYF631 Substrate Angle,PREPARATION STEP DETAIL: B12ZY82 Substrate Angle
Ba1.0O3,01142,11,1,11,4.0411854,0.78954124,,906.0993,,31.264467,,45.37999,44.141998,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,12,2,1,4.0406895,0.82886702,0.682612,997.99908,426.87582000000003,31.268403999999997,38.470558000000004,5.4000001,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,13,2,2,4.0368237,0.82392132,0.67749166,968.1071800000001,431.52432000000005,31.299114000000003,38.463467,9.397999800000001,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,14,2,3,4.0366230000000005,0.84649956,0.64231879,1115.9272,438.81195,31.300709,38.45882,13.39599,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,15,2,4,4.0412078000000005,0.81644309,0.68648857,1100.6018,414.89896,31.264291999999998,38.426395,17.393998999999997,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,16,2,5,4.0459118,0.77898425,0.78473246,1193.4503,365.83923,31.227010999999997,38.404221,21.391991,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,17,2,6,4.0445266,0.801543,0.76591706,1125.4034,334.78281,31.23798,38.333960999999995,25.389999,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,18,2,7,4.0480571,0.81542009,0.78161752,1094.0226,268.90805,31.210043,38.364231,29.38802,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,19,2,8,4.0479970000000005,0.82077974,0.83582401,1123.3071,240.42946,31.210516,38.347008,33.386009,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,20,2,9,4.0464802,0.83017457,0.82528514,1014.071,210.33391,31.222513,38.306488,37.384009999999996,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,21,2,10,4.0453715,0.77672559,,997.47656,,31.231287,,41.381989000000004,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,22,2,11,4.0465951,0.80819952,,880.83698,,31.221603,,45.37999,31.643998999999997,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,23,3,1,4.0427513,0.82457894,0.63537735,676.54224,356.34369,31.252046999999997,38.458019,5.4000001,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,24,3,2,4.0419617,0.83180457,0.60179871,729.883,343.47025,31.258309999999998,38.440478999999996,9.397999800000001,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,25,3,3,4.0389318,0.83557761,0.88571823,756.6510000000001,323.3952,31.282358000000002,38.542815999999995,13.39599,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,26,3,4,4.0418582,0.84727931,0.84281391,782.0332,309.19836000000004,31.25913,38.44437,17.393998999999997,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,27,3,5,4.044654799999999,0.85633904,0.69180703,813.46143,301.63837,31.236963,38.422298,21.391991,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,28,3,6,4.0471926,0.87156039,0.77474546,822.52112,256.49338,31.216879,38.391014,25.389999,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba1.0O3,01142,29,3,7,4.0487494,0.80604434,,804.37646,,31.204571,,29.38802,19.148001,0.89,2.15,1.49,137.327,0.0,0.0,0.0,0.0,inf,inf,inf,inf,inf,29_June_2016,Pulsed Laser Deposition,BZC19,650.0,18.1,850,N,200.0,10,50.0,p-Si,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
