Point	Row	Column	FWHM_110
1	1	1	0.79555196
2	1	2	0.83607477
3	1	3	0.81630725
4	1	4	0.7887007
5	1	5	0.77228439
6	1	6	0.76209491
7	1	7	0.76866293
8	1	8	0.79157585
9	1	9	0.77628148
10	1	10	0.78916031
11	1	11	0.78954124
12	2	1	0.82886702
13	2	2	0.82392132
14	2	3	0.84649956
15	2	4	0.81644309
16	2	5	0.77898425
17	2	6	0.801543
18	2	7	0.81542009
19	2	8	0.82077974
20	2	9	0.83017457
21	2	10	0.77672559
22	2	11	0.80819952
23	3	1	0.82457894
24	3	2	0.83180457
25	3	3	0.83557761
26	3	4	0.84727931
27	3	5	0.85633904
28	3	6	0.87156039
29	3	7	0.80604434
30	3	8	0.8322919
31	3	9	0.84658843
32	3	10	0.84281337
33	3	11	0.82536334
34	4	1	0.77216589
35	4	2	0.82303172
36	4	3	0.79880577
37	4	4	0.77742714
38	4	5	0.79840577
39	4	6	0.82558048
40	4	7	0.83507371
41	4	8	0.85068214
42	4	9	0.85536516
43	4	10	0.83375674
44	4	11	0.80373603
