Point	Row	Column	Norm_d
1	1	1	0.69457209
2	1	2	0.69371051
3	1	3	0.66384262
4	1	4	0.62564617
5	1	5	0.55442274
6	1	6	0.47357839
7	1	7	0.38340035
8	1	8	0.27570361
9	1	9	0.17331994
10	1	10	0.074669734
11	1	11	0.048535325
12	2	1	0.98879951
13	2	2	1
14	2	3	0.99396896
15	2	4	0.94514644
16	2	5	0.86085582
17	2	6	0.75
18	2	7	0.62909245
19	2	8	0.49784607
20	2	9	0.36430213
21	2	10	0.23075819
22	2	11	0.12578978
23	3	1	0.90163702
24	3	2	0.91901207
25	3	3	0.90809882
26	3	4	0.88742101
27	3	5	0.80427915
28	3	6	0.71352673
29	3	7	0.60827112
30	3	8	0.48205054
31	3	9	0.36401492
32	3	10	0.23564044
33	3	11	0.10927628
34	4	1	0.51206201
35	4	2	0.53144747
36	4	3	0.54968411
37	4	4	0.50689256
38	4	5	0.45864445
39	4	6	0.40781161
40	4	7	0.33902928
41	4	8	0.25789776
42	4	9	0.1609707
43	4	10	0.079695575
44	4	11	0
