Point	Row	Column	Zr_at
1	1	1	0.077810735
2	1	2	0.07373406
3	1	3	0.077070169
4	1	4	0.074122839
5	1	5	0.074898213
6	1	6	0.070272744
7	1	7	0.07137689
8	1	8	0.073258601
9	1	9	0.074531853
10	1	10	0.067563258
11	1	11	0.10419486
12	2	1	0.076881103
13	2	2	0.082236066
14	2	3	0.082818314
15	2	4	0.087152667
16	2	5	0.080634139
17	2	6	0.079352938
18	2	7	0.074579351
19	2	8	0.076553598
20	2	9	0.073330358
21	2	10	0.06944453
22	2	11	0.086533405
23	3	1	0.084303029
24	3	2	0.084104195
25	3	3	0.085337073
26	3	4	0.083868578
27	3	5	0.079229034
28	3	6	0.078203842
29	3	7	0.075013123
30	3	8	0.076984577
31	3	9	0.076635219
32	3	10	0.07623139
33	3	11	0.069813266
34	4	1	0.080012679
35	4	2	0.081369318
36	4	3	0.080327824
37	4	4	0.074310914
38	4	5	0.076435834
39	4	6	0.074459709
40	4	7	0.08130683
41	4	8	0.079381205
42	4	9	0.074582607
43	4	10	0.073335484
44	4	11	0.07956434
