Point	Row	Column	_s_Sigma
1	1	1	0.1676293
2	1	2	0.16107568
3	1	3	0.15819141
4	1	4	0.14601333
5	1	5	0.14137426
6	1	6	0.12750433
7	1	7	0.11147507
8	1	8	0.10451875
9	1	9	0.088822201
10	1	10	0.087847978
11	1	11	0.15706423
12	2	1	0.18286093
13	2	2	0.16626093
14	2	3	0.16205403
15	2	4	0.15434439
16	2	5	0.14508024
17	2	6	0.13525181
18	2	7	0.1181519
19	2	8	0.11147395
20	2	9	0.10680056
21	2	10	0.099078543
22	2	11	0.099511608
23	3	1	0.18016531
24	3	2	0.17991509
25	3	3	0.15737852
26	3	4	0.15336426
27	3	5	0.14699063
28	3	6	0.1317226
29	3	7	0.12546693
30	3	8	0.10708272
31	3	9	0.099241123
32	3	10	0.090860121
33	3	11	0.085674621
34	4	1	0.16628885
35	4	2	0.17467768
36	4	3	0.15133235
37	4	4	0.14550875
38	4	5	0.14800902
39	4	6	0.13013688
40	4	7	0.13211724
41	4	8	0.1191887
42	4	9	0.11667526
43	4	10	0.10152908
44	4	11	0.081197836
