Point	Row	Column	_s_FWHM
1	1	1	0.46830326
2	1	2	0.45268649
3	1	3	0.44974568
4	1	4	0.42238721
5	1	5	0.41203564
6	1	6	0.38569832
7	1	7	0.3779898
8	1	8	0.35747391
9	1	9	0.3439768
10	1	10	0.32622978
11	1	11	0.33312127
12	2	1	0.47736606
13	2	2	0.47663161
14	2	3	0.46024284
15	2	4	0.44411799
16	2	5	0.42718777
17	2	6	0.40684307
18	2	7	0.38509807
19	2	8	0.37585315
20	2	9	0.35644147
21	2	10	0.32952291
22	2	11	0.32424483
23	3	1	0.48134163
24	3	2	0.46997789
25	3	3	0.46613058
26	3	4	0.43340877
27	3	5	0.41980293
28	3	6	0.40845457
29	3	7	0.38707662
30	3	8	0.37469158
31	3	9	0.35057071
32	3	10	0.33148843
33	3	11	0.31488493
34	4	1	0.45235762
35	4	2	0.44238436
36	4	3	0.43562278
37	4	4	0.42999581
38	4	5	0.40436319
39	4	6	0.39092574
40	4	7	0.37252226
41	4	8	0.36021703
42	4	9	0.35320905
43	4	10	0.33191431
44	4	11	0.2955161
