Point	Row	Column	Y_at
1	1	1	0.083814651
2	1	2	0.080537841
3	1	3	0.079095706
4	1	4	0.073006667
5	1	5	0.07068713
6	1	6	0.063752167
7	1	7	0.055737536
8	1	8	0.052259374
9	1	9	0.0444111
10	1	10	0.043923989
11	1	11	0.078532115
12	2	1	0.091430463
13	2	2	0.083130464
14	2	3	0.081027016
15	2	4	0.077172197
16	2	5	0.072540119
17	2	6	0.067625903
18	2	7	0.059075948
19	2	8	0.055736974
20	2	9	0.053400278
21	2	10	0.049539272
22	2	11	0.049755804
23	3	1	0.090082653
24	3	2	0.089957543
25	3	3	0.078689262
26	3	4	0.076682128
27	3	5	0.073495314
28	3	6	0.0658613
29	3	7	0.062733464
30	3	8	0.053541362
31	3	9	0.049620561
32	3	10	0.04543006
33	3	11	0.042837311
34	4	1	0.083144426
35	4	2	0.087338842
36	4	3	0.075666174
37	4	4	0.072754376
38	4	5	0.074004509
39	4	6	0.065068439
40	4	7	0.066058621
41	4	8	0.059594352
42	4	9	0.058337629
43	4	10	0.050764538
44	4	11	0.040598918
