Point	Row	Column	Zr_at
1	1	1	0.23415163
2	1	2	0.22634324
3	1	3	0.22487284
4	1	4	0.21119361
5	1	5	0.20601782
6	1	6	0.19284916
7	1	7	0.1889949
8	1	8	0.17873695
9	1	9	0.1719884
10	1	10	0.16311489
11	1	11	0.16656063
12	2	1	0.23868303
13	2	2	0.23831581
14	2	3	0.23012142
15	2	4	0.222059
16	2	5	0.21359389
17	2	6	0.20342153
18	2	7	0.19254903
19	2	8	0.18792658
20	2	9	0.17822073
21	2	10	0.16476145
22	2	11	0.16212241
23	3	1	0.24067082
24	3	2	0.23498894
25	3	3	0.23306529
26	3	4	0.21670438
27	3	5	0.20990147
28	3	6	0.20422728
29	3	7	0.19353831
30	3	8	0.18734579
31	3	9	0.17528535
32	3	10	0.16574422
33	3	11	0.15744247
34	4	1	0.22617881
35	4	2	0.22119218
36	4	3	0.21781139
37	4	4	0.2149979
38	4	5	0.20218159
39	4	6	0.19546287
40	4	7	0.18626113
41	4	8	0.18010852
42	4	9	0.17660452
43	4	10	0.16595715
44	4	11	0.14775805
