Point	Row	Column	_s_MaxIntensity
1	1	1	0.060308501
2	1	2	0.066911578
3	1	3	0.062594354
4	1	4	0.067414574
5	1	5	0.065701559
6	1	6	0.061860792
7	1	7	0.056704033
8	1	8	0.057722021
9	1	9	0.056660753
10	1	10	0.049496889
11	1	11	0.053489339
12	2	1	0.079398505
13	2	2	0.084615514
14	2	3	0.082479112
15	2	4	0.079415679
16	2	5	0.081735343
17	2	6	0.079264775
18	2	7	0.074023724
19	2	8	0.071626611
20	2	9	0.065926746
21	2	10	0.068306439
22	2	11	0.064550273
23	3	1	0.088538438
24	3	2	0.091391474
25	3	3	0.086038806
26	3	4	0.08847376
27	3	5	0.087698422
28	3	6	0.083104163
29	3	7	0.075672835
30	3	8	0.076450661
31	3	9	0.066774927
32	3	10	0.066996075
33	3	11	0.062219437
34	4	1	0.083763503
35	4	2	0.085705854
36	4	3	0.087655835
37	4	4	0.083623134
38	4	5	0.080281846
39	4	6	0.076984353
40	4	7	0.075268351
41	4	8	0.071015313
42	4	9	0.065754347
43	4	10	0.058700442
44	4	11	0.05767246
