Point	Row	Column	d_um
1	1	1	0.15266
2	1	2	0.16051
3	1	3	0.16863
4	1	4	0.17354
5	1	5	0.17692
6	1	6	0.17848
7	1	7	0.17809001
8	1	8	0.17382
9	1	9	0.16866
10	1	10	0.16064
11	1	11	0.1517
12	2	1	0.18545
13	2	2	0.19533999
14	2	3	0.20546
15	2	4	0.21213999
16	2	5	0.21479
17	2	6	0.21562999
18	2	7	0.21393999
19	2	8	0.20931
20	2	9	0.20112
21	2	10	0.18929
22	2	11	0.17632
23	3	1	0.18988
24	3	2	0.19916999
25	3	3	0.20816
26	3	4	0.21275
27	3	5	0.21402
28	3	6	0.21477
29	3	7	0.21161
30	3	8	0.20434
31	3	9	0.19633999
32	3	10	0.18476
33	3	11	0.17230999
34	4	1	0.16203
35	4	2	0.16827001
36	4	3	0.17319
37	4	4	0.17640001
38	4	5	0.17692
39	4	6	0.17614
40	4	7	0.17309
41	4	8	0.16743
42	4	9	0.16064
43	4	10	0.1517
44	4	11	0.14081
