Point	Row	Column	Y_at
1	1	1	0.074441254
2	1	2	0.072667673
3	1	3	0.068148866
4	1	4	0.065874167
5	1	5	0.062302414
6	1	6	0.057965491
7	1	7	0.052914474
8	1	8	0.047880862
9	1	9	0.045503244
10	1	10	0.039674155
11	1	11	0.037250947
12	2	1	0.087618187
13	2	2	0.084013037
14	2	3	0.080594115
15	2	4	0.075592451
16	2	5	0.071903579
17	2	6	0.066407934
18	2	7	0.061491225
19	2	8	0.056546748
20	2	9	0.051669721
21	2	10	0.047266018
22	2	11	0.043369401
23	3	1	0.095046319
24	3	2	0.089827895
25	3	3	0.085306093
26	3	4	0.083084181
27	3	5	0.078249395
28	3	6	0.074100532
29	3	7	0.065797396
30	3	8	0.063635319
31	3	9	0.057569779
32	3	10	0.053675249
33	3	11	0.046736658
34	4	1	0.096408494
35	4	2	0.093383856
36	4	3	0.08957272
37	4	4	0.084831648
38	4	5	0.081781738
39	4	6	0.075884037
40	4	7	0.071534008
41	4	8	0.066403843
42	4	9	0.062030349
43	4	10	0.054822404
44	4	11	0.049484324
