Point	Ba_at	Zr_at	Y_at	Co_at	Fe_at
1	0.47688219	0.12165565	0.028610701	0.21337107	0.15948039
2	0.47632122	0.12821016	0.029056484	0.19832197	0.16809016
3	0.47908953	0.13003829	0.029220037	0.18551441	0.17613773
4	0.47709009	0.13331713	0.031946033	0.17306508	0.18458164
5	0.4781709	0.1342762	0.033580374	0.16041966	0.19355287
6	0.47731143	0.13748279	0.035737712	0.14877136	0.20069671
7	0.4772605	0.14211963	0.034905616	0.13801651	0.20769773
8	0.47679958	0.14026883	0.035278864	0.13027322	0.2173795
9	0.47703615	0.14228286	0.035225246	0.12265906	0.22279669
10	0.47542655	0.14166537	0.03477047	0.11688907	0.23124853
11	0.47363335	0.13793813	0.036750302	0.11297361	0.23870461
12	0.47840846	0.12348671	0.029182861	0.21458642	0.15433554
13	0.4763667	0.13039306	0.030331843	0.20053102	0.16237739
14	0.47849423	0.13270399	0.030880146	0.18780775	0.17011388
15	0.47611409	0.13709141	0.034037814	0.17508212	0.17767456
16	0.47660172	0.13876088	0.035798751	0.16224788	0.18659076
17	0.47549203	0.14223614	0.037370194	0.1508866	0.19401504
18	0.47558582	0.14658991	0.037663426	0.13988149	0.20027934
19	0.47575393	0.14568478	0.037890758	0.13197851	0.208692
20	0.4758994	0.14721043	0.037683837	0.12468796	0.21451838
21	0.47419995	0.14701742	0.037666522	0.11866396	0.22245215
22	0.47157633	0.14376961	0.039680637	0.11469129	0.23028213
23	0.47993472	0.12531777	0.029755022	0.21580179	0.14919069
24	0.47641215	0.13257594	0.031607203	0.20274007	0.15666461
25	0.4778989	0.1353697	0.032540254	0.19010112	0.16409002
26	0.4751381	0.14086568	0.036129594	0.17709914	0.1707675
27	0.47503254	0.14324553	0.038017131	0.16407612	0.17962866
28	0.47367263	0.14698949	0.039002672	0.15300183	0.18733338
29	0.47391117	0.15106018	0.040421233	0.14174648	0.19286095
30	0.47470832	0.1511007	0.040502649	0.1336838	0.20000452
31	0.47476265	0.15213799	0.040142428	0.12671687	0.20624006
32	0.47297335	0.15236948	0.04056257	0.12043884	0.21365577
33	0.46951932	0.1496011	0.042610977	0.11640896	0.22185966
34	0.48156273	0.12727089	0.030365327	0.21709818	0.14370286
35	0.47646067	0.13490437	0.03296759	0.20509639	0.15057097
36	0.47726393	0.13821311	0.034311038	0.19254734	0.15766457
37	0.47409701	0.14489157	0.038360827	0.17925063	0.16339995
38	0.47335875	0.14802918	0.040383406	0.16602623	0.17220241
39	0.4717319	0.15205973	0.040743984	0.15525809	0.18020628
40	0.47212487	0.15582846	0.043362901	0.14373578	0.18494798
41	0.473593	0.1568777	0.043288659	0.13550279	0.19073786
42	0.47355011	0.15739407	0.042764928	0.12888102	0.19740987
43	0.47166497	0.15807834	0.043651689	0.12233206	0.20427294
44	0.46732518	0.15582134	0.045736674	0.11824115	0.21287566
45	0.48286387	0.12921292	0.031040251	0.2179569	0.13892604
46	0.47655529	0.13715839	0.034380134	0.20672765	0.14517851
47	0.47660235	0.14110751	0.036117293	0.19431496	0.1518579
48	0.47314286	0.14874443	0.040472526	0.18082462	0.15681556
49	0.47197703	0.15253358	0.042587787	0.16757149	0.16533013
50	0.47001335	0.15692219	0.042710148	0.15697612	0.1733782
51	0.4705328	0.16051967	0.046167783	0.14530927	0.17747048
52	0.47228307	0.16242293	0.046131693	0.13702981	0.18213253
53	0.47221348	0.16248788	0.045526359	0.13065352	0.18911876
54	0.47026172	0.16364196	0.046749763	0.12396136	0.19538519
55	0.46526873	0.16173738	0.048886575	0.11983184	0.20427546
56	0.48270166	0.13187629	0.032383144	0.2164975	0.13654141
57	0.4769693	0.13987483	0.036684409	0.20460333	0.14186814
58	0.47550991	0.14548835	0.038873482	0.19266537	0.14746287
59	0.47233051	0.15310815	0.042713709	0.17951889	0.15232874
60	0.47181371	0.15716608	0.0447012	0.16727743	0.15904158
61	0.46895015	0.16249384	0.046845257	0.15611222	0.16559853
62	0.4694775	0.16664706	0.049278662	0.14498806	0.16960873
63	0.469255	0.16880853	0.050477132	0.13739812	0.17406121
64	0.46957743	0.16866235	0.050256282	0.13075936	0.18074456
65	0.46771029	0.17058076	0.051160991	0.12464435	0.18590361
66	0.46321625	0.16820307	0.053463645	0.12059713	0.19451991
67	0.48252866	0.13471721	0.033815559	0.21494079	0.1339978
68	0.47741085	0.14277238	0.039142296	0.20233738	0.13833708
69	0.47434467	0.15016125	0.041813418	0.19090582	0.14277484
70	0.47146404	0.15776277	0.045104299	0.17812613	0.14754277
71	0.47163948	0.16210744	0.0469555	0.16696377	0.15233381
72	0.46781605	0.16843694	0.051256042	0.15519077	0.15730019
73	0.46835181	0.17318295	0.052596934	0.14464544	0.16122288
74	0.46602505	0.17561987	0.055112273	0.13779099	0.16545181
75	0.4667657	0.17524847	0.055301521	0.13087225	0.17181206
76	0.4649888	0.17798214	0.055866309	0.12537286	0.17578991
77	0.46102691	0.1750998	0.058345851	0.12141345	0.18411398
78	0.48236641	0.13738059	0.035158448	0.2134814	0.13161315
79	0.47782487	0.14548883	0.041446567	0.20021306	0.13502669
80	0.47325227	0.15454209	0.044569608	0.18925625	0.1383798
81	0.47065172	0.16212647	0.047345478	0.1768204	0.14305595
82	0.47147617	0.16673994	0.049068913	0.16666971	0.14604527
83	0.46675286	0.17400862	0.055391155	0.15432689	0.14952049
84	0.46729651	0.17931032	0.055707816	0.14432423	0.15336113
85	0.46299699	0.18200551	0.059457712	0.1381593	0.15738049
86	0.46412969	0.18142293	0.060031444	0.13097809	0.16343786
87	0.46243739	0.18492092	0.060277537	0.12605584	0.16630831
88	0.45897442	0.18156549	0.062922917	0.12217875	0.17435843
89	0.48217797	0.14080487	0.036492575	0.20933694	0.13118766
90	0.47711694	0.14919347	0.042747784	0.19678938	0.13415243
91	0.47372761	0.15813929	0.046630275	0.1855862	0.13591662
92	0.47023439	0.16586608	0.050066464	0.17357689	0.14025618
93	0.46979582	0.17240518	0.052334379	0.16335481	0.14210978
94	0.46607253	0.17864178	0.058043271	0.15201372	0.1452287
